============================================================
Horizon training — 72h target (fwdMaxFavR72H)
  CSV source: /Volumes/External/CryptoLens/ml-training/csv_exports_v14_stocks
  Output suffix: h72t25
============================================================

--- Loading Stocks ---
  WMT: 1629 bars, goodR=63.0%
  XLC: 1498 bars, goodR=66.8%
  XLE: 1498 bars, goodR=66.4%
  XLF: 1498 bars, goodR=64.6%
  XLI: 1498 bars, goodR=64.2%
  XLK: 1498 bars, goodR=67.4%
  XLP: 1498 bars, goodR=60.8%
  XLU: 1498 bars, goodR=58.5%
  XLV: 1498 bars, goodR=58.5%
  XLY: 1498 bars, goodR=65.3%
  XOM: 1629 bars, goodR=65.4%
  ZS: 1629 bars, goodR=63.4%
  total: 252215 bars, goodR=62.0%

  Model: XGBoost d5 t100
  walk-forward CV (capturing out-of-fold predictions):
    fold 1: train=100886, val=37784, acc=66.2%, p_mean=0.641, p_max=0.875
    fold 2: train=138718, val=37784, acc=68.0%, p_mean=0.595, p_max=0.855
    fold 3: train=176550, val=75617, acc=68.2%, p_mean=0.613, p_max=0.868
  total OOF samples: 151185
  calibration floor (Wilson LB, bottom decile): 0.3398

  Stocks calibration breakpoints (raw -> calibrated):
    0.1353 -> 0.3398
    0.1829 -> 0.3398
    0.1835 -> 0.3398
    0.3347 -> 0.3398
    0.3347 -> 0.3398
    0.3548 -> 0.3398
    0.3548 -> 0.3398
    0.3549 -> 0.3398
    0.3549 -> 0.3398
    0.3696 -> 0.3398
    0.3697 -> 0.3524
    0.3768 -> 0.3524
    0.3768 -> 0.3636
    0.3769 -> 0.3636
    0.3769 -> 0.3657
    0.3810 -> 0.3657
    0.3810 -> 0.3849
    0.3873 -> 0.3849
    0.3873 -> 0.4189
    0.4049 -> 0.4189
    0.4049 -> 0.4197
    0.4394 -> 0.4197
    0.4394 -> 0.4340
    0.4468 -> 0.4340
    0.4468 -> 0.4361
    0.4487 -> 0.4361
    0.4487 -> 0.4366
    0.4494 -> 0.4366
    0.4494 -> 0.4368
