symbol,timestamp,p
DOGEUSDT,1679486400,0.7051704208019189
ETHUSDT,1679486400,0.4678636689145993
THETAUSDT,1679486400,0.6241498361928751
ICPUSDT,1679486400,0.575267729249143
LTCUSDT,1679486400,0.5339132708113308
FILUSDT,1679486400,0.5598452536267835
ATOMUSDT,1679486400,0.5005454992927129
MANAUSDT,1679486400,0.5659413900627753
LINKUSDT,1679486400,0.7540764365607286
SOLUSDT,1679486400,0.6505582336454255
ALGOUSDT,1679500800,0.587487640621668
MANAUSDT,1679500800,0.5841737914603278
ATOMUSDT,1679500800,0.496412142830887
BNBUSDT,1679500800,0.4764607041879493
BTCUSDT,1679500800,0.4579349514899342
ETHUSDT,1679500800,0.4929099082144499
SOLUSDT,1679500800,0.5486354346060364
DOGEUSDT,1679500800,0.593833182016922
VETUSDT,1679500800,0.5943294194276971
AXSUSDT,1679500800,0.5272625747640985
AVAXUSDT,1679500800,0.542059139877306
UNIUSDT,1679500800,0.5827123604825277
LINKUSDT,1679500800,0.5974430773757672
FILUSDT,1679500800,0.5753663554291165
AAVEUSDT,1679500800,0.5867058267643832
ADAUSDT,1679500800,0.529873997571312
DOTUSDT,1679500800,0.5806248596801111
NEARUSDT,1679500800,0.5786347286798598
ICPUSDT,1679500800,0.5910170078665973
SANDUSDT,1679500800,0.5020538103608486
THETAUSDT,1679500800,0.5972146484917351
XRPUSDT,1679500800,0.4713036272214151
LTCUSDT,1679500800,0.5886585438564834
EGLDUSDT,1679500800,0.526069762981502
DOGEUSDT,1679515200,0.5675438182039715
UNIUSDT,1679515200,0.5729687377494159
DOTUSDT,1679515200,0.564621422788767
ATOMUSDT,1679515200,0.4798370756534822
ALGOUSDT,1679515200,0.5631659620873712
AAVEUSDT,1679515200,0.5692659073908205
ICPUSDT,1679515200,0.5650413417262775
EGLDUSDT,1679515200,0.4950883067641592
THETAUSDT,1679515200,0.5954855776667591
SANDUSDT,1679515200,0.4692429342371287
ADAUSDT,1679515200,0.533380594223097
LTCUSDT,1679515200,0.689292629109369
NEARUSDT,1679515200,0.5427568739373803
AXSUSDT,1679515200,0.4891761092344852
XRPUSDT,1679515200,0.4236425236910821
FILUSDT,1679515200,0.5446589538641368
VETUSDT,1679515200,0.5678089055954239
SOLUSDT,1679515200,0.5265101910709999
AVAXUSDT,1679515200,0.5246817772909068
LINKUSDT,1679515200,0.5800579941720346
BNBUSDT,1679515200,0.4662322785530955
ETHUSDT,1679515200,0.4902130678456408
MANAUSDT,1679515200,0.5482213745024113
BTCUSDT,1679515200,0.4546950855550924
DOGEUSDT,1679529600,0.5495230262116579
MANAUSDT,1679529600,0.5257028659680226
NEARUSDT,1679529600,0.5248944285595268
DOTUSDT,1679529600,0.5513208230847423
AXSUSDT,1679529600,0.5241038838545806
EGLDUSDT,1679529600,0.5075954447446016
ETHUSDT,1679529600,0.4898213246000716
BTCUSDT,1679529600,0.4573152887416599
XRPUSDT,1679529600,0.3927445148214058
BNBUSDT,1679529600,0.502972948197805
LTCUSDT,1679529600,0.7354580016875369
THETAUSDT,1679529600,0.5513695428627159
AVAXUSDT,1679529600,0.5120637486325655
ICPUSDT,1679529600,0.5357879360085982
FILUSDT,1679529600,0.5205793388244647
LINKUSDT,1679529600,0.5546061386417303
ATOMUSDT,1679529600,0.4625364464224094
VETUSDT,1679529600,0.5509679939319765
SOLUSDT,1679529600,0.5195886905326516
UNIUSDT,1679529600,0.5636964493721831
AAVEUSDT,1679529600,0.5437740288388666
ALGOUSDT,1679529600,0.5311563516059126
SANDUSDT,1679529600,0.4753173128505534
ADAUSDT,1679529600,0.5285386248686945
MANAUSDT,1679544000,0.5231571479945704
AAVEUSDT,1679544000,0.5520181222867809
ALGOUSDT,1679544000,0.5265549588901682
DOTUSDT,1679544000,0.5479950052994902
FILUSDT,1679544000,0.5139275242629056
AVAXUSDT,1679544000,0.540442507834097
ETHUSDT,1679544000,0.4060332944332379
BTCUSDT,1679544000,0.454209480152151
XRPUSDT,1679544000,0.3994115311186182
UNIUSDT,1679544000,0.5572576753149783
BNBUSDT,1679544000,0.5175791782577063
EGLDUSDT,1679544000,0.5061795334984929
THETAUSDT,1679544000,0.5399097884899112
VETUSDT,1679544000,0.538566276042886
AXSUSDT,1679544000,0.5162644760987402
DOGEUSDT,1679544000,0.5477477724498537
SOLUSDT,1679544000,0.5131513298038016
ATOMUSDT,1679544000,0.4563038435458463
NEARUSDT,1679544000,0.524495356529191
ADAUSDT,1679544000,0.5702518497984485
ICPUSDT,1679544000,0.5297844151400245
SANDUSDT,1679544000,0.4883099487183039
LTCUSDT,1679544000,0.6969402270000932
LINKUSDT,1679544000,0.5626833998267219
NEARUSDT,1679558400,0.5388555497867951
SANDUSDT,1679558400,0.5034611759983342
BTCUSDT,1679558400,0.4554816647660315
ADAUSDT,1679558400,0.5906076145588709
ETHUSDT,1679558400,0.4060332944332379
AVAXUSDT,1679558400,0.5653865362038614
XRPUSDT,1679558400,0.3964706821174869
VETUSDT,1679558400,0.5477340897105086
LINKUSDT,1679558400,0.5959037753245237
UNIUSDT,1679558400,0.5833016394264163
DOTUSDT,1679558400,0.5834571387297043
AAVEUSDT,1679558400,0.5757227164594269
DOGEUSDT,1679558400,0.6656061008520066
ICPUSDT,1679558400,0.5334255508867034
FILUSDT,1679558400,0.5139275242629056
SOLUSDT,1679558400,0.5241438574598172
MANAUSDT,1679558400,0.5708628417266116
ATOMUSDT,1679558400,0.4595640441029561
AXSUSDT,1679558400,0.5252534601805536
ALGOUSDT,1679558400,0.5418149692925178
THETAUSDT,1679558400,0.5549975792720911
BNBUSDT,1679558400,0.5175791782577063
EGLDUSDT,1679558400,0.5120108303334002
LTCUSDT,1679558400,0.7553679531411356
DOTUSDT,1679572800,0.6523509512372875
AAVEUSDT,1679572800,0.6704950244541089
SOLUSDT,1679572800,0.6010686065438519
BNBUSDT,1679572800,0.5354366960194793
ETHUSDT,1679572800,0.5042704462513287
AVAXUSDT,1679572800,0.6168621785399577
NEARUSDT,1679572800,0.6203992680117706
LTCUSDT,1679572800,0.7857651992358443
ALGOUSDT,1679572800,0.5836837230351787
AXSUSDT,1679572800,0.5697325126469327
DOGEUSDT,1679572800,0.6664427583898083
LINKUSDT,1679572800,0.6795434359149708
FILUSDT,1679572800,0.5700853184710637
ICPUSDT,1679572800,0.5592971754738949
ADAUSDT,1679572800,0.6110380624600175
ATOMUSDT,1679572800,0.3744962471914626
EGLDUSDT,1679572800,0.5372768033528974
SANDUSDT,1679572800,0.5730463569558867
MANAUSDT,1679572800,0.6042405706043837
VETUSDT,1679572800,0.6152619647489633
XRPUSDT,1679572800,0.4023668171213341
THETAUSDT,1679572800,0.6303268900081793
UNIUSDT,1679572800,0.6468548726051895
BTCUSDT,1679572800,0.500334459203383
AVAXUSDT,1679587200,0.583349532977655
SANDUSDT,1679587200,0.5486318612163738
VETUSDT,1679587200,0.5725511464269437
UNIUSDT,1679587200,0.5846073439328255
ETHUSDT,1679587200,0.4701342684628717
AAVEUSDT,1679587200,0.5971013197243343
ALGOUSDT,1679587200,0.517374122491925
LINKUSDT,1679587200,0.6364097465606824
THETAUSDT,1679587200,0.5978865085291671
FILUSDT,1679587200,0.5195748589370449
SOLUSDT,1679587200,0.5575806875180295
ICPUSDT,1679587200,0.5356893193917224
BNBUSDT,1679587200,0.533956008342971
ADAUSDT,1679587200,0.5816879160956006
XRPUSDT,1679587200,0.392637573235163
ATOMUSDT,1679587200,0.4698162129942858
BTCUSDT,1679587200,0.4808962039806683
LTCUSDT,1679587200,0.7681771727389702
NEARUSDT,1679587200,0.5577423040001593
DOTUSDT,1679587200,0.611020945690344
DOGEUSDT,1679587200,0.6185860242040662
EGLDUSDT,1679587200,0.5168784346371756
MANAUSDT,1679587200,0.5661652044986146
AXSUSDT,1679587200,0.5525013546313833
