symbol,side,R,n,p_target,p_stop,p_timeout,mean_timeout_r,ev_real,ev_binary_assumption
AAVEUSDT,LONG,1.0,11003,0.4681450513496319,0.5252203944378806,0.006634554212487503,-0.07626699775136216,-0.05758134061945374,-0.06370989730073617
AAVEUSDT,LONG,1.5,11003,0.35190402617467964,0.6220121784967736,0.02608379532854676,0.16325958541757485,-0.08989770962329872,-0.12023993456330084
AAVEUSDT,LONG,2.0,11003,0.2614741434154322,0.6779969099336545,0.060528946650913386,0.4314209230937378,-0.12893516906476146,-0.21557756975370346
AAVEUSDT,LONG,3.0,11003,0.1556848132327547,0.7193492683813505,0.12496591838589476,0.8039842010680709,-0.1518242046288651,-0.37726074706898116
AAVEUSDT,LONG,5.0,11003,0.059256566390984276,0.7353449059347451,0.20539852767427066,1.3733456559098205,-0.15697889826809105,-0.6444606016540944
AAVEUSDT,LONG,8.0,11003,0.017904207943288192,0.7356175588475871,0.2464782332091248,1.8639927644927266,-0.13295025199452207,-0.8388621285104063
AAVEUSDT,SHORT,1.0,11003,0.5233118240479869,0.4700536217395256,0.006634554212487503,0.07626699775136216,0.05376419983966641,0.04662364809597386
AAVEUSDT,SHORT,1.5,11003,0.3938016904480596,0.5805689357447968,0.025629373807143505,0.2669294883120533,0.016974835563391712,-0.015495773879850905
AAVEUSDT,SHORT,2.0,11003,0.2967372534763246,0.6410978823957103,0.0621648641279651,0.4473241588841997,-0.019815529884868434,-0.10978823957102612
AAVEUSDT,SHORT,3.0,11003,0.1737707897846042,0.6818140507134418,0.14441515950195402,0.9012711656042802,-0.030344462224375052,-0.3049168408615832
AAVEUSDT,SHORT,5.0,11003,0.06461874034354267,0.6959920021812233,0.23938925747523404,1.4648599281112076,-0.02222656996774327,-0.612287557938744
AAVEUSDT,SHORT,8.0,11003,0.018358629464691446,0.6982641097882396,0.283377260747069,1.9057886684320764,-0.011337901647622054,-0.8347723348177769
ADAUSDT,LONG,1.0,14048,0.45536731207289294,0.5365176537585421,0.00811503416856492,-0.057713879279187856,-0.08161869178800024,-0.08926537585421412
ADAUSDT,LONG,1.5,14048,0.3329299544419134,0.6373149202733486,0.029755125284738042,0.20622592657629543,-0.1317837103282395,-0.16767511389521644
ADAUSDT,LONG,2.0,14048,0.2492881548974943,0.6835848519362187,0.06712699316628702,0.4540060414658503,-0.1545324816982989,-0.25213553530751703
ADAUSDT,LONG,3.0,14048,0.15382972665148065,0.7165432801822323,0.129626993166287,0.8243509976475327,-0.14819595908911185,-0.3846810933940774
ADAUSDT,LONG,5.0,14048,0.0734624145785877,0.7272209567198178,0.19931662870159453,1.3283601170485222,-0.0951446235951123,-0.5592255125284737
ADAUSDT,LONG,8.0,14048,0.026409453302961277,0.7296412300683371,0.2439493166287016,1.8452200491655657,-0.06822543362112798,-0.7623149202733485
ADAUSDT,SHORT,1.0,14048,0.5337414578587699,0.4581435079726651,0.00811503416856492,0.057713879279187856,0.07606629998845582,0.06748291571753984
ADAUSDT,SHORT,1.5,14048,0.40518223234624146,0.5602220956719818,0.034595671981776766,0.23410179254899002,0.05565016167275122,0.012955580865603666
ADAUSDT,SHORT,2.0,14048,0.31627277904328016,0.6112613895216401,0.07246583143507973,0.44766466525911314,0.05372456073702856,-0.05118166287015946
ADAUSDT,SHORT,3.0,14048,0.18871013667425968,0.6523348519362187,0.15895501138952164,0.8905630072822164,0.05535501105219171,-0.2451594533029613
ADAUSDT,SHORT,5.0,14048,0.06976082004555809,0.6677818906605922,0.26245728929384965,1.4404890993151143,0.05908907383078205,-0.5814350797266515
ADAUSDT,SHORT,8.0,14048,0.0202875854214123,0.6692767653758542,0.3104356492027335,1.83518362587091,0.06273033829890647,-0.8174117312072893
ALGOUSDT,LONG,1.0,13226,0.46453954332375624,0.5289581128081052,0.006502343868138515,-0.007757082063498923,-0.06446900869933923,-0.07092091335248751
ALGOUSDT,LONG,1.5,13226,0.3450022682594889,0.6276274005746257,0.027370331165885376,0.21538846086969177,-0.1042287446820786,-0.1374943293512778
ALGOUSDT,LONG,2.0,13226,0.2656887947981249,0.6775291093301073,0.05678209587176773,0.47253539447115356,-0.11931996966219295,-0.20293361560562528
ALGOUSDT,LONG,3.0,13226,0.1574928171782852,0.714426130349312,0.12808105247240284,0.8512926390001118,-0.13291322164931277,-0.3700287312868592
ALGOUSDT,LONG,5.0,13226,0.0626795705428701,0.727430818085589,0.2098896113715409,1.4195201279267413,-0.11609043738661476,-0.6239225767427794
ALGOUSDT,LONG,8.0,13226,0.017163163465900497,0.729623468924845,0.2532133676092545,1.9235424841577746,-0.10525149104457973,-0.8455315288068955
ALGOUSDT,SHORT,1.0,13226,0.5274459398155149,0.46605171631634656,0.006502343868138515,0.007757082063498923,0.06144466271415853,0.054891879631029816
ALGOUSDT,SHORT,1.5,13226,0.39974293059125965,0.5738696506880387,0.026387418720701647,0.22805679969516565,0.031762575464510265,-0.0006426735218508783
ALGOUSDT,SHORT,2.0,13226,0.3102978980795403,0.6248298805383335,0.06487222138212612,0.5288859223776162,0.030075920263117697,-0.0691063057613791
ALGOUSDT,SHORT,3.0,13226,0.18395584454861635,0.6633146831997581,0.1527294722516256,0.9704885565006733,0.036775055506680775,-0.2641766218055346
ALGOUSDT,SHORT,5.0,13226,0.05746257371843339,0.6769998487827007,0.26553757749886586,1.5445812681872437,0.02045738801403301,-0.6552245576893996
ALGOUSDT,SHORT,8.0,13226,0.012702253137758959,0.6793437169212158,0.3079540299410253,1.8817138021315039,0.0017556567429016117,-0.8856797217601694
ATOMUSDT,LONG,1.0,14005,0.4596215637272403,0.532309889325241,0.008068546947518743,0.003611374414797397,-0.07265918705398985,-0.08075687254551944
